molecule_chembl_id,canonical_smiles,standard_value
CHEMBL24450,O=c1oc(-c2ccco2)nc2ccccc12,5500.0
CHEMBL24449,O=c1oc(-c2ccccc2)nc2ccccc12,17000.0
CHEMBL166871,CC(C)C(NC(=O)CN1CCCC[C@H](NC(=O)c2ccc(C(=O)NS(=O)(=O)c3ccc(Cl)cc3)cc2)C1=O)C(=O)C(F)(F)F,5000.0
CHEMBL285585,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H]1C(=O)N[C@H]1OC(=O)c1ccccc1)OCc1ccccc1,50000.0
CHEMBL355117,CC(C)C(NC(=O)CN1C(=O)[C@@H](NC(=O)c2ccc(C(=O)NS(=O)(=O)c3ccc(Cl)cc3)cc2)C[S+]([O-])c2ccccc21)C(=O)C(F)(F)F,6800.0
CHEMBL31363,CC(C)CO[C@@H]1NC(=O)[C@H]1NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,50000.0
CHEMBL282602,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H]1C(=O)N[C@H]1Oc1ccccc1)OCc1ccccc1,30000.0
CHEMBL281518,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H]1CNC1=O)OCc1ccccc1,50000.0
CHEMBL30969,CCCCO[C@@H]1NC(=O)[C@H]1NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,50000.0
CHEMBL31272,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H]1C(=O)N[C@@H]1Sc1ccccc1)OCc1ccccc1,50000.0
CHEMBL284984,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H]1C(=O)N[C@H]1OCc1ccccc1)OCc1ccccc1,50000.0
